ExportDate	StudioVersionRec	StudioProjectName	StudioTestName	ParticipantName	[Q1]Value	[Q02]Value	RecordingName	RecordingDate	RecordingDuration	RecordingResolution	PresentationSequence	FixationFilter	MediaName	MediaPosX (ADCSpx)	MediaPosY (ADCSpx)	MediaWidth	MediaHeight	SegmentName	SegmentStart	SegmentEnd	SegmentDuration	SceneName	SceneSegmentStart	SceneSegmentEnd	SceneSegmentDuration	RecordingTimestamp	LocalTimeStamp	EyeTrackerTimestamp	MouseEventIndex	MouseEvent	MouseEventX (ADCSpx)	MouseEventY (ADCSpx)	MouseEventX (MCSpx)	MouseEventY (MCSpx)	KeyPressEventIndex	KeyPressEvent	StudioEventIndex	StudioEvent	StudioEventData	ExternalEventIndex	ExternalEvent	ExternalEventValue	EventMarkerValue	FixationIndex	SaccadeIndex	GazeEventType	GazeEventDuration	FixationPointX (MCSpx)	FixationPointY (MCSpx)	SaccadicAmplitude	AbsoluteSaccadicDirection	RelativeSaccadicDirection	AOI[black puppy]Hit	GazePointIndex	GazePointLeftX (ADCSpx)	GazePointLeftY (ADCSpx)	GazePointRightX (ADCSpx)	GazePointRightY (ADCSpx)	GazePointX (ADCSpx)	GazePointY (ADCSpx)	GazePointX (MCSpx)	GazePointY (MCSpx)	GazePointLeftX (ADCSmm)	GazePointLeftY (ADCSmm)	GazePointRightX (ADCSmm)	GazePointRightY (ADCSmm)	StrictAverageGazePointX (ADCSmm)	StrictAverageGazePointY (ADCSmm)	EyePosLeftX (ADCSmm)	EyePosLeftY (ADCSmm)	EyePosLeftZ (ADCSmm)	EyePosRightX (ADCSmm)	EyePosRightY (ADCSmm)	EyePosRightZ (ADCSmm)	CamLeftX	CamLeftY	CamRightX	CamRightY	DistanceLeft	DistanceRight	PupilLeft	PupilRight	ValidityLeft	ValidityRight	IRMarkerCount	IRMarkerID	PupilGlassesRight	
1/26/2016	3.3.1	Testing	New test	P09	Male	Asian	Rec 10	1/26/2016	88386	1920 x 1080		I-VT filter														120	15:29:39.145	4331585998186																1		Fixation	150							13	1147	710	1082	761	1114	735			314.86	101.69	296.88	87.63	305.87	94.66	233.80	327.81	589.93	302.14	321.56	587.38					666.28	666.28	-1.00	-1.00	0	0				
1/26/2016	3.3.1	Testing	New test	P09	Male	Asian	Rec 10	1/26/2016	88386	1920 x 1080		I-VT filter														128	15:29:39.153	4331586006520																1		Fixation	150							14	1155	704	1079	761	1117	732			317.11	103.41	296.23	87.85	306.67	95.63	233.76	327.80	589.96	302.10	321.52	587.38					666.30	666.30	-1.00	-1.00	0	0				
1/26/2016	3.3.1	Testing	New test	P09	Male	Asian	Rec 10	1/26/2016	88386	1920 x 1080		I-VT filter														136	15:29:39.161	4331586014857																1		Fixation	150							15	1157	676	1086	762	1121	719			317.47	111.00	298.14	87.49	307.81	99.24	233.76	327.79	589.99	302.14	321.50	587.34					666.32	666.32	2.41	2.85	0	0				
1/26/2016	3.3.1	Testing	New test	P09	Male	Asian	Rec 10	1/26/2016	88386	1920 x 1080		I-VT filter														145	15:29:39.170	4331586023234																1		Fixation	150							16	1153	683	1091	774	1122	728			316.44	109.16	299.36	84.02	307.90	96.59	233.78	327.72	589.95	302.15	321.38	587.25					666.25	666.25	-1.00	-1.00	0	0				
1/26/2016	3.3.1	Testing	New test	P09	Male	Asian	Rec 10	1/26/2016	88386	1920 x 1080		I-VT filter														153	15:29:39.178	4331586031512																1		Fixation	150							17	1160	677	1089	776	1124	726			318.48	110.74	298.96	83.71	308.72	97.22	233.74	327.68	589.94	302.10	321.30	587.20					666.23	666.23	-1.00	-1.00	0	0				
1/26/2016	3.3.1	Testing	New test	P09	Male	Asian	Rec 10	1/26/2016	88386	1920 x 1080		I-VT filter														162	15:29:39.187	4331586039970																1		Fixation	150							18	1166	704	1093	773	1129	738			320.01	103.42	300.08	84.49	310.04	93.96	233.76	327.67	589.96	302.12	321.26	587.12					666.24	666.24	2.71	2.78	0	0				
1/26/2016	3.3.1	Testing	New test	P09	Male	Asian	Rec 10	1/26/2016	88386	1920 x 1080		I-VT filter														170	15:29:39.195	4331586048244																1		Fixation	150							19	1135	727	1094	760	1114	743			311.40	97.05	300.16	88.05	305.78	92.55	233.78	327.64	589.92	302.15	321.18	586.96					666.18	666.18	-1.00	-1.00	0	0				
1/26/2016	3.3.1	Testing	New test	P09	Male	Asian	Rec 10	1/26/2016	88386	1920 x 1080		I-VT filter														178	15:29:39.203	4331586056565																1		Fixation	150							20	1124	741	1085	763	1104	752			308.42	93.14	297.88	87.10	303.15	90.12	233.74	327.67	589.92	302.09	321.13	586.88					666.20	666.20	-1.00	-1.00	0	0				
1/26/2016	3.3.1	Testing	New test	P09	Male	Asian	Rec 10	1/26/2016	88386	1920 x 1080		I-VT filter														187	15:29:39.212	4331586065075																1		Fixation	150							21	1139	712	1083	760	1111	736			312.54	101.25	297.13	87.92	304.84	94.58	233.75	327.74	589.93	302.12	321.13	586.77					666.25	666.25	2.67	2.82	0	0				
1/26/2016	3.3.1	Testing	New test	P09	Male	Asian	Rec 10	1/26/2016	88386	1920 x 1080		I-VT filter														195	15:29:39.220	4331586073264																1		Fixation	150							22	1150	751			1150	751			315.53	90.55					233.78	327.78	589.88		320.54						666.22		-1.00		0	4				
1/26/2016	3.3.1	Testing	New test	P09	Male	Asian	Rec 10	1/26/2016	88386	1920 x 1080		I-VT filter														203	15:29:39.228	4331586081511																1		Fixation	150							23	1143	747	1099	745	1121	746			313.60	91.68	301.69	92.24	307.64	91.96	233.74	327.82	589.91	302.10	321.09	586.54					666.27	666.27	-1.00	-1.00	0	0				
1/26/2016	3.3.1	Testing	New test	P09	Male	Asian	Rec 10	1/26/2016	88386	1920 x 1080		I-VT filter														211	15:29:39.236	4331586089852																1		Fixation	150							24	1142	747	1105	733	1123	740			313.58	91.66	303.33	95.35	308.46	93.51	233.76	327.89	589.95	302.12	321.10	586.47					666.33	666.33	2.67	2.76	0	0				
1/26/2016	3.3.1	Testing	New test	P09	Male	Asian	Rec 10	1/26/2016	88386	1920 x 1080		I-VT filter														220	15:29:39.245	4331586098237																1		Fixation	150							25	1151	738	1105	760	1128	749			315.79	94.00	303.24	88.11	309.52	91.05	233.77	327.86	589.94	302.12	321.01	586.36					666.31	666.31	-1.00	-1.00	0	0				
1/26/2016	3.3.1	Testing	New test	P09	Male	Asian	Rec 10	1/26/2016	88386	1920 x 1080		I-VT filter														228	15:29:39.253	4331586106619																1		Fixation	150							26	1157	738	1092	771	1124	754			317.44	94.02	299.65	85.10	308.55	89.56	233.73	327.86	590.02	302.08	320.94	586.33					666.38	666.38	-1.00	-1.00	0	0				
1/26/2016	3.3.1	Testing	New test	P09	Male	Asian	Rec 10	1/26/2016	88386	1920 x 1080		I-VT filter														236	15:29:39.261	4331586114915																1		Fixation	150							27	1166	720	1092	786	1129	753			319.98	98.91	299.63	80.91	309.81	89.91	233.74	327.86	590.12	302.09	320.90	586.33					666.47	666.47	2.31	2.74	0	0				
1/26/2016	3.3.1	Testing	New test	P09	Male	Asian	Rec 10	1/26/2016	88386	1920 x 1080		I-VT filter														245	15:29:39.270	4331586123243																	3	Saccade	100							28	1159	701	1086	773	1122	737			318.03	104.20	298.21	84.37	308.12	94.28	233.76	327.85	590.14	302.12	320.84	586.24					666.48	666.48	-1.00	-1.00	0	0				
1/26/2016	3.3.1	Testing	New test	P09	Male	Asian	Rec 10	1/26/2016	88386	1920 x 1080		I-VT filter														253	15:29:39.278	4331586131621																	3	Saccade	100							29	1143	698	1086	763	1114	730			313.65	104.99	298.19	87.06	305.92	96.02	233.66	327.92	590.15	302.02	320.86	586.20					666.53	666.53	-1.00	-1.00	0	0				
1/26/2016	3.3.1	Testing	New test	P09	Male	Asian	Rec 10	1/26/2016	88386	1920 x 1080		I-VT filter														261	15:29:39.286	4331586139950																	3	Saccade	100							30	1143	698	1067	747	1105	722			313.65	104.99	292.82	91.70	303.23	98.35	233.63	328.08	590.13	301.92	321.01	586.12					666.59	666.59	2.75	2.93	0	0				
1/26/2016	3.3.1	Testing	New test	P09	Male	Asian	Rec 10	1/26/2016	88386	1920 x 1080		I-VT filter														270	15:29:39.295	4331586148290																	3	Saccade	100							31	1066	659	1048	704	1057	681			292.67	115.71	287.56	103.33	290.12	109.52	233.60	328.12	589.96	301.75	321.00	585.80					666.47	666.47	-1.00	-1.00	0	0				
1/26/2016	3.3.1	Testing	New test	P09	Male	Asian	Rec 10	1/26/2016	88386	1920 x 1080		I-VT filter														278	15:29:39.303	4331586156598																	3	Saccade	100							32	1008	505	1035	515	1021	510			276.57	158.00	284.09	155.29	280.33	156.64	233.46	328.19	589.86	301.59	320.95	585.55					666.42	666.42	-1.00	-1.00	0	0				
1/26/2016	3.3.1	Testing	New test	P09	Male	Asian	Rec 10	1/26/2016	88386	1920 x 1080		I-VT filter														286	15:29:39.311	4331586164852																	3	Saccade	100							33			1035	515	1035	515					284.09	155.29						301.60	320.93	585.33						666.46		2.87	4	0				
1/26/2016	3.3.1	Testing	New test	P09	Male	Asian	Rec 10	1/26/2016	88386	1920 x 1080		I-VT filter														287	15:29:39.312										1	InstructionStart	Test Instruction						3	Saccade	100																																									
1/26/2016	3.3.1	Testing	New test	P09	Male	Asian	Rec 10	1/26/2016	88386	1920 x 1080		I-VT filter														295	15:29:39.320	4331586173247																	3	Saccade	100							34	993	487	1032	490	1012	488			272.68	163.20	283.15	162.16	277.92	162.68	233.50	328.21	589.76	301.63	320.90	585.28					666.35	666.35	-1.00	-1.00	0	0				
1/26/2016	3.3.1	Testing	New test	P09	Male	Asian	Rec 10	1/26/2016	88386	1920 x 1080		I-VT filter														303	15:29:39.328	4331586181514																	3	Saccade	100							35	999	459	960	583	979	521			274.16	170.87	263.46	136.62	268.81	153.75	233.43	328.14	589.66	301.64	320.93	585.40					666.23	666.23	-1.00	-1.00	0	0				
1/26/2016	3.3.1	Testing	New test	P09	Male	Asian	Rec 10	1/26/2016	88386	1920 x 1080		I-VT filter														311	15:29:39.336	4331586189885																	3	Saccade	100							36			965	600	965	600					264.83	131.92						301.71	320.99	585.47						666.28		3.10	4	0				
1/26/2016	3.3.1	Testing	New test	P09	Male	Asian	Rec 10	1/26/2016	88386	1920 x 1080		I-VT filter														320	15:29:39.345	4331586198185																	3	Saccade	100							37	1025	509	959	612	992	560			281.37	156.93	263.19	128.68	272.28	142.81	233.49	328.04	589.53	301.72	320.96	585.47					666.06	666.06	-1.00	-1.00	0	0				
1/26/2016	3.3.1	Testing	New test	P09	Male	Asian	Rec 10	1/26/2016	88386	1920 x 1080		I-VT filter														328	15:29:39.353	4331586206513																	3	Saccade	100							38	1016	532	946	614	981	573			278.81	150.77	259.62	128.20	269.21	139.49	233.45	327.62	588.88	301.71	320.92	585.53					665.30	665.30	-1.00	-1.00	0	0				
1/26/2016	3.3.1	Testing	New test	P09	Male	Asian	Rec 10	1/26/2016	88386	1920 x 1080		I-VT filter														336	15:29:39.361	4331586214911																	3	Saccade	100							39			962	574	962	574					264.05	139.25						301.80	321.22	586.00						665.34		2.81	4	0				
1/26/2016	3.3.1	Testing	New test	P09	Male	Asian	Rec 10	1/26/2016	88386	1920 x 1080		I-VT filter														345	15:29:39.370	4331586223239																		Unclassified	8							40	989	479	964	565	976	522			271.59	165.35	264.50	141.73	268.04	153.54	233.52	327.40	588.53	301.80	321.21	586.04					664.88	664.88	-1.00	-1.00	0	0				
